case_number,source,case_status,soc_code,soc_title,job_title,workers_requested,workers_certified,employer_name,employer_city,employer_state,worksite_city,worksite_state,wage_from,wage_to,wage_per,employment_begin_date,employment_end_date,received_date,decision_date,noa_issued_date,nature_of_need
H-400-26045-641637,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,15.0,,"J. Hubler Landscaping, Inc.",Elizabethtown,PA,Elizabethtown,PA,19.86,,Hour,2026-05-01,2026-12-15,2026-02-13,2026-03-31,,Peakload
H-400-26034-617768,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,36.0,,"Growing Seasons Landscaping, LLC",Canonsburg,PA,Dunlow,WV,15.6,22.0,Hour,2026-05-01,2026-11-30,2026-02-03,2026-03-31,,Peakload
H-400-26034-617721,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,40.0,,"Growing Seasons Landscaping, LLC",Canonsburg,PA,Morgantown,WV,17.85,22.0,Hour,2026-05-01,2026-11-30,2026-02-03,2026-03-31,,Peakload
H-400-26032-611870,disclosure_fy2026_q2,Withdrawn,47-2061.00,Construction Laborers,Construction Laborer,6.0,,Bow Wow Concrete LLC,Mitchell,SD,Mitchell,SD,20.75,,Hour,2026-05-01,2026-11-30,2026-02-01,2026-03-31,,Peakload
H-400-26004-532543,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborers,7.0,7.0,"Wichman Landscape Construction, LLC",Pittsburgh,PA,Pittsburgh,PA,18.69,18.69,Hour,2026-04-01,2026-11-30,2026-01-03,2026-03-31,,Seasonal
H-400-26003-532374,disclosure_fy2026_q2,Determination Issued - Certification,37-2012.00,Maids and Housekeeping Cleaners,Housekeeping Cleaner,85.0,85.0,"The Broadmoor Hotel, Inc.",Colorado Springs,CO,Colorado Springs,CO,19.1,,Hour,2026-04-01,2026-12-31,2026-01-03,2026-03-31,,Peakload
H-400-26003-532269,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,landscape laborer,5.0,5.0,Cedar Hardscaping LLC,Bear,DE,Bear,DE,19.86,19.86,Hour,2026-04-01,2026-12-31,2026-01-03,2026-03-31,,Seasonal
H-400-26003-532004,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,9.0,9.0,RW Lawncare Corp.,Salt Lake City,UT,Salt Lake City,UT,20.01,21.5,Hour,2026-04-01,2026-11-21,2026-01-03,2026-03-31,,Peakload
H-400-26003-531863,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Qualified Landscape Laborer,18.0,18.0,"Texas GroundWorks Management, Inc.",Houston,TX,Houston,TX,17.42,18.0,Hour,2026-04-01,2026-10-31,2026-01-03,2026-03-31,,Peakload
H-400-26003-531858,disclosure_fy2026_q2,Determination Issued - Denied,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Heavy Truck Driver,4.0,,"Altenburg Construction, Inc.",Lewisville,MN,Lewisville,MN,27.9,28.5,Hour,2026-04-01,2026-12-15,2026-01-03,2026-03-31,,Peakload
H-400-26003-531737,disclosure_fy2026_q2,Withdrawn,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Shrimp Processors,26.0,,"Pamlico Packing Company, Inc.",Grantsboro,NC,Grantsboro,NC,12.39,12.39,Hour,2026-04-01,2026-12-19,2026-01-03,2026-03-31,,Peakload
H-400-26003-531533,disclosure_fy2026_q2,Determination Issued - Denied,37-2012.00,Maids and Housekeeping Cleaners,Housekeepers,10.0,,Tidy Tribe LLC,Ozark,MO,McHenry,MD,16.0,16.0,Hour,2026-04-01,2026-10-31,2026-01-02,2026-03-31,,Seasonal
H-400-26003-531501,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,62.0,,"Yellowstone Landscape - Central, Inc.",PFLUGERVILLE,TX,Pflugerville,TX,18.93,,Hour,2026-04-01,2026-11-01,2026-01-02,2026-03-31,,Peakload
H-400-26003-531425,disclosure_fy2026_q2,Determination Issued - Certification,47-2061.00,Construction Laborers,General Laborer,4.0,4.0,"Sealing Agents Waterproofing, Inc.",Indian Trail,NC,Murfreesboro,TN,22.45,24.0,Hour,2026-04-01,2026-11-30,2026-01-02,2026-03-31,,Peakload
H-400-26003-531312,disclosure_fy2026_q2,Determination Issued - Certification,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",WINDOW CLEANER,19.0,19.0,"SPOTLESS CLEANING ENTERPRISES, LLC ",RICHMOND ,VA,RICHMOND,VA,16.42,16.42,Hour,2026-04-01,2026-12-23,2026-01-02,2026-03-31,,Peakload
H-400-26003-531228,disclosure_fy2026_q2,Determination Issued - Certification,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Service Utility ,12.0,12.0,The Silver Bay Association for Christian Conferences and Training,Silver Bay,NY,Silver Bay,NY,17.9,,Hour,2026-04-01,2026-11-19,2026-01-02,2026-03-31,,Peakload
H-400-26002-531037,disclosure_fy2026_q2,Determination Issued - Certification,35-2021.00,Food Preparation Workers,Prep Cook,8.0,8.0,Badlands Saloon and Grille LLC,Wall,SD,Wall,SD,14.73,14.73,Hour,2026-04-01,2026-10-14,2026-01-02,2026-03-31,,Seasonal
H-400-26002-531016,disclosure_fy2026_q2,Determination Issued - Certification,35-3031.00,Waiters and Waitresses,Server,8.0,8.0,Badlands Saloon and Grille LLC,Wall,SD,Wall,SD,14.88,14.88,Hour,2026-04-01,2026-10-14,2026-01-02,2026-03-31,,Seasonal
H-400-26002-530885,disclosure_fy2026_q2,Withdrawn,45-4011.00,Forest and Conservation Workers,Forestry worker,26.0,,Cosmos Forestry LLC,Central Point,OR,Central Point,OR,20.65,28.0,Hour,2026-04-01,2026-11-26,2026-01-02,2026-03-31,,Seasonal
H-400-26002-530832,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Qualified Landscape Laborer,15.0,,Lawn Logic Inc,Charlevoix,MI,Charlevoix,MI,19.33,21.0,Hour,2026-04-01,2026-11-15,2026-01-02,2026-03-31,,Peakload
H-400-26002-530510,disclosure_fy2026_q2,Determination Issued - Certification,37-2012.00,Maids and Housekeeping Cleaners,HOUSEKEEPER,14.0,14.0,"S6 Lodging, LLC",HILL CITY,SD,HILL CITY,SD,14.3,14.3,Hour,2026-04-01,2026-11-30,2026-01-02,2026-03-31,,Seasonal
