naics_code,title
1114,"Greenhouse, Nursery, and Floriculture Production"
1129,Other Animal Production
1132,Forest Nurseries and Gathering of Forest Products
1151,Support Activities for Crop Production
1153,Support Activities for Forestry
2361,Residential Building Construction
2362,Nonresidential Building Construction
2371,Utility System Construction
2379,Other Heavy and Civil Engineering Construction
2381,"Foundation, Structure, and Building Exterior Contractors"
2389,Other Specialty Trade Contractors
3113,Sugar and Confectionery Product Manufacturing
3116,Animal Slaughtering and Processing
3117,Seafood Product Preparation and Packaging
3279,Other Nonmetallic Mineral Product Manufacturing
4441,Building Material and Supplies Dealers
4442,Lawn and Garden Equipment and Supplies Retailers
4451,Grocery and Convenience Retailers
4452,Specialty Food Retailers
4841,General Freight Trucking
4842,Specialized Freight Trucking
5311,Lessors of Real Estate
5322,Consumer Goods Rental
5324,Commercial and Industrial Machinery and Equipment Rental and Leasing
5413,"Architectural, Engineering, and Related Services"
5417,Scientific Research and Development Services
5613,Employment Services
5617,Services to Buildings and Dwellings
7111,Performing Arts Companies
7131,Amusement Parks and Arcades
7139,Other Amusement and Recreation Industries
7211,Traveler Accommodation
7223,Special Food Services
7224,Drinking Places (Alcoholic Beverages)
7225,Restaurants and Other Eating Places
11133,Noncitrus Fruit and Tree Nut Farming
11142,Nursery and Floriculture Production
11234,Poultry Hatcheries
11292,Horses and Other Equine Production
11321,Forest Nurseries and Gathering of Forest Products
11411,Fishing
11531,Support Activities for Forestry
21231,Stone Mining and Quarrying
22131,Water Supply and Irrigation Systems
23611,Residential Building Construction
23621,Industrial Building Construction
23622,Commercial and Institutional Building Construction
23713,Power and Communication Line and Related Structures Construction
23731,"Highway, Street, and Bridge Construction"
23799,Other Heavy and Civil Engineering Construction
23811,Poured Concrete Foundation and Structure Contractors
23812,Structural Steel and Precast Concrete Contractors
23814,Masonry Contractors
23816,Roofing Contractors
23817,Siding Contractors
23822,"Plumbing, Heating, and Air-Conditioning Contractors"
23834,Tile and Terrazzo Contractors
23839,Other Building Finishing Contractors
23891,Site Preparation Contractors
23899,All Other Specialty Trade Contractors
31171,Seafood Product Preparation and Packaging
32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing"
32192,Wood Container and Pallet Manufacturing
32223,Stationery Product Manufacturing
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
32518,Other Basic Inorganic Chemical Manufacturing
32732,Ready-Mix Concrete Manufacturing
32739,Other Concrete Product Manufacturing
33399,All Other General Purpose Machinery Manufacturing
33992,Sporting and Athletic Goods Manufacturing
42374,Refrigeration Equipment and Supplies Merchant Wholesalers
42446,Fish and Seafood Merchant Wholesalers
42451,Grain and Field Bean Merchant Wholesalers
42491,Farm Supplies Merchant Wholesalers
42493,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
44424,"Nursery, Garden Center, and Farm Supply Retailers"
44511,Supermarkets and Other Grocery Retailers (except Convenience Retailers)
44512,Convenience Stores
44523,Fruit and Vegetable Retailers
44529,Other Specialty Food Retailers
45322,"Gift, Novelty, and Souvenir Stores"
45999,All Other Miscellaneous Retailers
48411,"General Freight Trucking, Local"
48421,Used Household and Office Goods Moving
48422,"Specialized Freight (except Used Goods) Trucking, Local"
48849,Other Support Activities for Road Transportation
49319,Other Warehousing and Storage
53112,Lessors of Nonresidential Buildings (except Miniwarehouses)
53131,Real Estate Property Managers
53139,Other Activities Related to Real Estate
53228,Other Consumer Goods Rental
53231,General Rental Centers
54132,Landscape Architectural Services
56131,Employment Placement Agencies and Executive Search Services
56132,Temporary Help Services
56152,Tour Operators
56159,Other Travel Arrangement and Reservation Services
56171,Exterminating and Pest Control Services
56172,Janitorial Services
56173,Landscaping Services
56179,Other Services to Buildings and Dwellings
56291,Remediation Services
61162,Sports and Recreation Instruction
71119,Other Performing Arts Companies
71311,Amusement and Theme Parks
71312,Amusement Arcades
71391,Golf Courses and Country Clubs
71392,Skiing Facilities
71393,Marinas
71394,Fitness and Recreational Sports Centers
71399,All Other Amusement and Recreation Industries
72111,Hotels (except Casino Hotels) and Motels
72112,Casino Hotels
72119,Other Traveler Accommodation
72121,RV (Recreational Vehicle) Parks and Recreational Camps
72231,Food Service Contractors
72233,Mobile Food Services
72241,Drinking Places (Alcoholic Beverages)
72251,Restaurants and Other Eating Places
81222,Cemeteries and Crematories
81299,All Other Personal Services
81399,Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)
111421,Nursery and Tree Production
112111,Beef Cattle Ranching and Farming
112920,Horses and Other Equine Production
114112,Shellfish Fishing
115114,Postharvest Crop Activities (except Cotton Ginning)
115115,Farm Labor Contractors and Crew Leaders
115210,Support Activities for Animal Production
115310,Support Activities for Forestry
212311,Dimension Stone Mining and Quarrying
